properties.id;properties.name;properties.proposer;properties.status.id;properties.status.name;properties.district;properties.year;properties.budget;properties.detail;properties.category.name;properties.image;latitude;longitude;category_category;category.status;ObjectId;x;y
11;Malá rozhledna na Kraví hoře;Jiří Holík;14;nezískal podporu;Brno - Střed;2017;58000;https://paro.damenavas.cz/projekt/?id=11;Jiné;https://paro.damenavas.cz/wp-content/uploads/2017/06/Holík-Rozhledna-projekt-11-244x300.jpg;49,204293;16,58407736;failed;Jiné, failed;1;1846131,047;6309597,002
12;Psí hřbitov v Brně;Soňa Porupková;6;neproveditelný;Brno - Maloměřice a Obřany;2017;1964999;https://paro.damenavas.cz/projekt/?id=12;Zvířata;https://paro.damenavas.cz/wp-content/uploads/2017/01/5-300x211.jpg;49,21205635;16,66113197;failed;Zvířata, failed;2;1854708,727;6310919,817
23;Trolejbusová zastávka na nám. Konečného;Jiří Kubíček;14;nezískal podporu;Brno - Střed;2017;1100000;https://paro.damenavas.cz/projekt/?id=23;Doprava;https://paro.damenavas.cz/wp-content/uploads/2017/06/ikony_person_white-136x300.png;49,20475659;16,5946263;failed;Doprava, failed;3;1847305,35;6309675,989
31;Spojení Vaňkova náměstí s Mendlovým náměstím;Michal Závodský;6;neproveditelný;Brno - Střed;2017;945000;https://paro.damenavas.cz/projekt/?id=31;Zeleň;https://paro.damenavas.cz/wp-content/uploads/2017/02/P2010047-225x300.jpg;49,19275183;16,58879185;failed;Zeleň, failed;4;1846655,861;6307630,86
34;Bezpečí na dosah;Jana Salvetová;13;stažen;Brno;2017;300000;https://paro.damenavas.cz/projekt/?id=34;Senioři;https://paro.damenavas.cz/wp-content/uploads/2017/02/SOS-199x300.jpg;49,19498;16,608303;failed;Senioři, failed;5;1848827,833;6308010,412
35;Lávky pro cyklisty na cyklotrase podél Svitavy;Michal Neumann;6;neproveditelný;Brno - Sever;2017;591000;https://paro.damenavas.cz/projekt/?id=35;Sport;https://paro.damenavas.cz/wp-content/uploads/2017/02/Hladíkova-300x129.png;49,20299275;16,6281455;failed;Sport, failed;6;1851036,69;6309375,469
38;Živá voda pro Hády;Lubomír Tichý;6;neproveditelný;Brno - Maloměřice a Obřany;2017;1993000;https://paro.damenavas.cz/projekt/?id=38;Zeleň;https://paro.damenavas.cz/wp-content/uploads/2017/02/Výstřižek-300x276.jpg;49,21606918;16,66880068;failed;Zeleň, failed;7;1855562,404;6311603,655
41;Pejsci a sport na Záhřebské;František Tomeček;15;nevítězný;Brno - Žabovřesky;2017;346115;https://paro.damenavas.cz/projekt/?id=41;Zábava;https://paro.damenavas.cz/wp-content/uploads/2017/02/realizace-225x300.jpg;49,21870257;16,58344854;failed;Zábava, failed;8;1846061,047;6312052,449
42;Výuka sportovního karate a sebeobrany;Vangelis Liolios;15;nevítězný;Brno - Slatina;2017;17280;https://paro.damenavas.cz/projekt/?id=42;Senioři;https://paro.damenavas.cz/wp-content/uploads/2017/07/Výuka-sportoního-karate-3-upraveno-na-web-197x300.png;49,1795745;16,68548088;failed;Senioři, failed;9;1857419,235;6305386,541
48;seznam se v Brně;zdeněk  Herblich;15;nevítězný;Brno;2017;1460000;https://paro.damenavas.cz/projekt/?id=48;Senioři;https://paro.damenavas.cz/wp-content/uploads/2017/02/Stíny-ve-Vyškově-300x200.jpg;49,19498;16,608303;failed;Senioři, failed;10;1848827,833;6308010,412
