properties.id,properties.name,properties.proposer,properties.status.id,properties.status.name,properties.district,properties.year,properties.budget,properties.detail,properties.category.name,properties.image,latitude,longitude,category_category,category.status,ObjectId,x,y
11,Malá rozhledna na Kraví hoře,Jiří Holík,14,nezískal podporu,Brno - Střed,2017,58000,https://paro.damenavas.cz/projekt/?id=11,Jiné,https://paro.damenavas.cz/wp-content/uploads/2017/06/Holík-Rozhledna-projekt-11-244x300.jpg,49.204292996385,16.5840773592044,failed,"Jiné, failed",1,1846131.04690289,6309597.00180126
12,Psí hřbitov v Brně,Soňa Porupková,6,neproveditelný,Brno - Maloměřice a Obřany,2017,1964999,https://paro.damenavas.cz/projekt/?id=12,Zvířata,https://paro.damenavas.cz/wp-content/uploads/2017/01/5-300x211.jpg,49.212056346181,16.6611319681181,failed,"Zvířata, failed",2,1854708.72673044,6310919.81749113
23,Trolejbusová zastávka na nám. Konečného,Jiří Kubíček,14,nezískal podporu,Brno - Střed,2017,1100000,https://paro.damenavas.cz/projekt/?id=23,Doprava,https://paro.damenavas.cz/wp-content/uploads/2017/06/ikony_person_white-136x300.png,49.204756589922,16.5946263020269,failed,"Doprava, failed",3,1847305.3498463,6309675.98877887
31,Spojení Vaňkova náměstí s Mendlovým náměstím,Michal Závodský,6,neproveditelný,Brno - Střed,2017,945000,https://paro.damenavas.cz/projekt/?id=31,Zeleň,https://paro.damenavas.cz/wp-content/uploads/2017/02/P2010047-225x300.jpg,49.19275183466,16.5887918450815,failed,"Zeleň, failed",4,1846655.86107008,6307630.85952768
34,Bezpečí na dosah,Jana Salvetová,13,stažen,Brno,2017,300000,https://paro.damenavas.cz/projekt/?id=34,Senioři,https://paro.damenavas.cz/wp-content/uploads/2017/02/SOS-199x300.jpg,49.19498,16.608303,failed,"Senioři, failed",5,1848827.8329004,6308010.41210166
35,Lávky pro cyklisty na cyklotrase podél Svitavy,Michal Neumann,6,neproveditelný,Brno - Sever,2017,591000,https://paro.damenavas.cz/projekt/?id=35,Sport,https://paro.damenavas.cz/wp-content/uploads/2017/02/Hladíkova-300x129.png,49.202992746399,16.6281455005537,failed,"Sport, failed",6,1851036.6899581,6309375.4694099
38,Živá voda pro Hády,Lubomír Tichý,6,neproveditelný,Brno - Maloměřice a Obřany,2017,1993000,https://paro.damenavas.cz/projekt/?id=38,Zeleň,https://paro.damenavas.cz/wp-content/uploads/2017/02/Výstřižek-300x276.jpg,49.216069179712,16.6688006835013,failed,"Zeleň, failed",7,1855562.40422194,6311603.65520923
41,Pejsci a sport na Záhřebské,František Tomeček,15,nevítězný,Brno - Žabovřesky,2017,346115,https://paro.damenavas.cz/projekt/?id=41,Zábava,https://paro.damenavas.cz/wp-content/uploads/2017/02/realizace-225x300.jpg,49.218702570407,16.5834485403543,failed,"Zábava, failed",8,1846061.0471087,6312052.44854736
42,Výuka sportovního karate a sebeobrany,Vangelis Liolios,15,nevítězný,Brno - Slatina,2017,17280,https://paro.damenavas.cz/projekt/?id=42,Senioři,https://paro.damenavas.cz/wp-content/uploads/2017/07/Výuka-sportoního-karate-3-upraveno-na-web-197x300.png,49.179574501621,16.6854808793073,failed,"Senioři, failed",9,1857419.23512539,6305386.54130588
48,seznam se v Brně,zdeněk  Herblich,15,nevítězný,Brno,2017,1460000,https://paro.damenavas.cz/projekt/?id=48,Senioři,https://paro.damenavas.cz/wp-content/uploads/2017/02/Stíny-ve-Vyškově-300x200.jpg,49.19498,16.608303,failed,"Senioři, failed",10,1848827.8329004,6308010.41210166
49,Rychlé pruhy pro chodce v podchodu pod hlavním nádražím ,Veronika Filipová,15,nevítězný,Brno - Střed,2017,74600,https://paro.damenavas.cz/projekt/?id=49,Jiné,https://paro.damenavas.cz/wp-content/uploads/2017/02/image-300x225.jpg,49.190420371515,16.6134537367174,failed,"Jiné, failed",11,1849401.21028899,6307233.72918861
63,Jedlý park v Líšni,Lukáš Sejkora,6,neproveditelný,Brno - Líšeň,2017,1987000,https://paro.damenavas.cz/projekt/?id=63,Senioři,https://paro.damenavas.cz/wp-content/uploads/2017/02/stezka04-300x182.jpg,49.20347955533,16.6737684255952,failed,"Senioři, failed",12,1856115.41074222,6309458.40966045
66,Lesy pro psa,Martina Ryslerová,6,neproveditelný,Brno,2017,1990000,https://paro.damenavas.cz/projekt/?id=66,Děti,https://paro.damenavas.cz/wp-content/uploads/2017/02/DSC_3133_Falco-225x300.jpg,49.19498,16.608303,failed,"Děti, failed",13,1848827.8329004,6308010.41210166
68,Bezbariérově s MHD do přírody,Dana Kroupová,6,neproveditelný,Brno - Maloměřice a Obřany,2017,330000,https://paro.damenavas.cz/projekt/?id=68,Senioři,https://paro.damenavas.cz/wp-content/uploads/2017/10/ikony_wheelchair_white-150x300.png,49.228236469167,16.6532807343841,failed,"Senioři, failed",14,1853834.73138907,6313677.45505213
69,Opěrný odpočinkový sloup pro cestující hromadné městské dopravy,Vangelis Liolios,15,nevítězný,Brno - Slatina,2017,200000,https://paro.damenavas.cz/projekt/?id=69,Zdraví,https://paro.damenavas.cz/wp-content/uploads/2017/07/Opěrný-odpočinkový-sloup-upraveno-na-web-241x300.png,49.178481685921,16.6836363871272,failed,"Zdraví, failed",15,1857213.90719513,6305200.44351478
78,Dlážděný chodník  skrze parčík k tramvajové zastávce Židovský hřbitov,Jan Račanský,15,nevítězný,Brno - Židenice,2017,618000,https://paro.damenavas.cz/projekt/?id=78,Senioři,https://paro.damenavas.cz/wp-content/uploads/2017/02/Židovský-hřbitov-300x240.jpg,49.191365353549,16.6424269426522,failed,"Senioři, failed",16,1852626.4928203,6307394.6906765
