;ID;Subjekt;Odůvodnění;Závěr
0;11;missing assessment of feasibility;missing assessment of feasibility;missing assessment of feasibility
1;12;Odbor vodního a lesního hospodářství a zemědělství;Projekt je navržen na pozemku určenému k plnění funkcí lesa, na kterém se nachází vzrostlý lesní porost – borovice, dub, buk, smrk ve věku cca 130 let. Při terénních úpravách – výkop hrobů, by došlo k poškození kořenových systémů vzrostlých stromů a lesní půdy a tím k odumření celého lesního porostu. Dále lokalita není vhodná i z důvodu velmi příkrého členitého svahu. ;neproveditelný
2;12;Odbor územního plánování a rozvoje;V Územním plánu města Brna nejsou řešeny samostatné funkční plochy pro psí hřbitovy. Určení konkrétních vhodných lokalit je složitější problematikou nad rámec  časových možností participativního rozpočtu, je nutná součinnost více odborů MMB. Téma psích hřbitovů je však podnětem pro řešení v novém územním plánu.;neproveditelný
3;12;Majetkový odbor;Majetek města – lesní pozemek;proveditelný
4;23;missing assessment of feasibility;missing assessment of feasibility;missing assessment of feasibility
5;31;Majetkový odbor;Jedná se o majetek města (Pouze část pozemků je v majetku města).;proveditelný
6;31;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: DOPRAVA A TECHNICKÁ INFRASTRUKTURA, Řešení dopravy, ochrana centra před nadměrnou dopravou, parkování;proveditelný
7;31;MČ Brno-střed;"Městská část Brno-střed nesouhlasí s realizací tohoto projektu na území městské části z prostředků PaRo města Brna. Městská část souhlasí s realizací projektu z úrovně městské části Brno-střed.
";neproveditelný
8;34;missing assessment of feasibility;missing assessment of feasibility;missing assessment of feasibility
9;35;Majetkový odbor;Komunikace Hladíkova není majetkem města.;proveditelný s úpravami
10;35;Odbor dopravy;"Ulice Hladíkova je řešena v jiné investici.  Přejezdy na ulici Křenová a Cejl by vyžadovaly významné změny v uspořádání komunikace a byla by překročena maximální cena projektu.
";neproveditelný
11;35;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: DOPRAVA A TECHNICKÁ INFRASTRUKTURA, Řešení dopravy, ochrana centra před nadměrnou dopravou, KVALITA ŽIVOTA, Zlepšení kvality veřejných prostranství a vybraných složek životního prostředí;proveditelný
12;38;Majetkový odbor;"Vybudovaní cesty je realizovatelné pouze na jediném  pozemku v majetku města p.č. 2232/95 k.ú. Maloměřice. Na pozemek v majetku města p.č. 2373/1 v k.ú. Maloměřice je uplatněn restituční nárok.
";neproveditelný
13;38;Odbor strategického rozvoje a spolupráce;"Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Zlepšení kvality veřejných prostranství a vybraných složek životního prostředí

";proveditelný
14;38;Odbor vodního a lesního hospodářství a zemědělství;"V místě navrhovaného projektu se nachází zařízení, které slouží k odvedení a likvidaci důlních vod z Růženina lomu. Důlní vody jsou odváděny potrubím a systémem zasakovacích objektů, pravděpodobně drenáže a vsakovací studny. Vlastníkem tohoto zařízení je Českomoravský cement a.s. V případě nového návrhu na odvedení důlních vod upozorňujeme, že se bude jednat o vodní dílo a je nutné ho povolit příslušným vodoprávním úřadem, kterým je zdejší odbor VLHZ MMB. Časový rámec je možné stihnout. 
";proveditelný s úpravami
15;38;Odbor životního prostředí;Pěšiny mimo zastavěné území je dle § 63 zákona č.  114/1992 Sb. možné zřizovat se souhlasem orgánu ochrany přírody (Odbor životního prostředí MMB). Je potřeba upravit rozsah projektu tak, aby nevyžadoval správní řízení dle vodního zákona.;proveditelný s úpravami
16;38;MČ Brno-Maloměřice a Obřany;EMPTY;proveditelný
17;41;Majetkový odbor;Plochy jsou v majetku města.;proveditelný
18;41;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Podpora nabídky volnočasových aktivit, rekreace a sportu;proveditelný
19;41;Odbor investiční;"Nezapočtena cena přípravy – PD pro územní souhlas. Je potřeba navýšit částku o náklady na zpracování potřebné PD a IČ při povolení stavby (cca 15 tis. Kč).
";proveditelný s úpravami
