project_name,project_description,public_interest,status
malý rozhledna na kraví hora,"přestože vrchol kraví hora být docela vysoko na Brno , z žádný místo kraví hora být moc dobrý výhled do dálka . hlavně v léto ne , když strom mít listí . být ten škoda . přitom být stačit malý rozhledna někde v blízkost planetárium , aby se otevřít výhled na všechen strana do vzdálenost několik desítka kilometr . jeho výška být stačit kousek nad střecha planetárium a kousek nad koruna strom ( podle můj odhad asi 10  15 metr od země ) . myslit , že být být hodně navštěvovaný , protože na kraví hora chodit hodně lidé , a že být se lidé výhled užívat .","rozhled do široký okolí , užívat být se on mnohý návštěvník kraví hora .",0
psí hřbitov v Brno,"jít se důstojně rozloučit s náš čtyřnohý miláček ! psí kamarád my dělat každodenní radost , projevovat opravdový láska , stát se člen rodina . jeho poslání v náš život ale být věčný , za poměrně krátký doba my muset opustit . co pak udělat s jeho tělo ? zavézt do kafilérka a nechat on průmyslově zpracovat na masokostní moučka ? další možnost být nechat pejsek zpopelnit v krematorium za poměrně vysoký částka , nebo on v ideální případ vykopat hrobeček na vlastní pozemek . ne všechen Brňan ale mít tento možnost . vybudovat proto na území Brno , ideálně na některý z využitý pole , park nebo v les psí hřbitov ! v Brno být evidovaný cirka 30 tisíc pes , ale být vyhradit žádný oficiální pozemek , kde být se s pejsek moci důstojně rozloučit a dále on navštěvovat . následovat město jako Třebíč , Písek , Pardubice nebo Praha , kde již zvířecí hřbitov fungovat několik léta a obyvatel on vřele přijmout . najít pro náš mazlíček ideální místo poslední odpočinek .","v Brno být evidovaný přibližně 30 tisíc pes . psí hřbitov tak pomoci všechen majitel čtyřnohý mazlíček , který řešit , co s pejsek udělat po jeho smrt . pokud být mít oficiální vyhrazený prostor , kde za určitý poplatek být moci pejsek pohřbít , ubýt tak na černo kopaný hrob , například v les , který splňovat hygienický norma a být dělat často amatérský způsob .",1
trolejbusový zastávka na náměstí . konečný,"současný stav trolejbusový zastávka směr Mendlův my . na ulice kotlářský , naproti botanický zahrada být únosný . zastávka být situovat u úzký chodník , vzhledem k několik škola v okolí a v důsledek ten zvýšený počet cestující v některý hodina docházet na zastávka k strkanice a protože podél procházet dva jízdní pruh být přímo ohrozit bezpečnost cestující a ten , který jen procházet . navrhovat zastávka zrušit , \ "" vykrojit \ "" v park na náměstí . konečný odbočka z jízdní pruh pro zastavení trolejbus a vybudovat krásný zastávka prostorově vyhovující počet cestující . následně pak rovněž zrušit zastávka na začátek úvoz , který být v dostupný vzdálenost od zastávka nový . takovýto řešení být zlepšit nejen situace cestující ale přispět být i k plynulost doprava .",cestující v město Brno,0
spojení Vaňkův náměstí s Mendlův náměstí,"vytvoření průchod zatím uzavřený a veřejnost přístupný areál zahrádka na žlutý kopec se vytvořit nový spojnice mezi frekventovaný Mendlův náměstí a Vaňkův náměstí u Masarykův onkologický ústav . současný vstup do zahrádkářský areál být být otevřít ( tzn . odstranění branka ) a průstupový cesta kolem zahrádka , který již dnes existovat a vlastnit on město Brno , být být v zájem bezpečnost uživatel zahrádka nově oplotit a upravit ( terenní vysprávka ) .","díky nový spojení mezi Vaňkův a Mendlův náměstí se zkrátit doba pro pěší mezi tento lokalita uprostřed město . zároveň se otevřít nový zajímavý spojnice s výhled na Špilberk a jih město Brno – zkrátit se tak vlastně cesta z rušný starý Brno do klidný žlutý kopec . součást se stát i partie pod Helgoland , odkud se kupříkladu . krásně pozorovat ohňostroj z Špilberk . více se zpopularizovat a „ přiblížit “ pro lidé z Oltec park na Vaňkův náměstí , kde být i malý dětský hřiště a významný krajinný prvek Helgoland . spojení moci využít i lidé na procházka nebo návštěvník Masarykův onkologický ústav , který se k on dostat krátký cesta a hezký příroda a zeleň .",1
lávka pro cyklista na cyklotrasa podél Svitava,"cyklostezka vedoucí přes Brno z sever na jih podél Svitava být na ulice Cejl , Křenová a Hladíkův přerušit , být tady lávka , dokonce ani přechod . cyklista muset složitě překonávat frekventovaný komunikace . navrhovat být vybudovat minimálně přechod pro chodec , v lepší případ lávka .",zlepšení podmínka pro cyklista v Brno . bezkolizní cyklostezka . zvýšení bezpečnost .,1
živý voda pro Háda,"ponechat Hády příroda , ale zpřístupnit on obyvatel město a vrátit on dřívější život . vybudovat vycházkový pěšina mezi sídliště Vinohrady , Maloměřice a jižní svah Háda . malebný cesta povést ovocný alej a les podél potok až k Růženin lom . zurčící voda a strom zrcadlící se v tůně vytvořit stín na jinak rozpálený jižní svah . tam , kde se voda ztratit pod země , zásobit kořen ovocný strom alej , který poskytnout stín . technický parametr : Odkřovení , zpřístupnění oba pozemek – jižní část – odstranění invazní druh a trnitý křovina do 80 % , zachování především zvláště chráněný a ohrožený druh dřevina ( postup dle zákon 114 / 92 sbírka . ) – dub pýřitý , růže bedrníkolistý , růže malokvětý , dřín jarní atd . ponechání a extenzivní ošetřování ( sečení ) travnatý porost . severní část – odstranění a ošetření invazní dřevina do rozsah zachování základní kostra porost , dosazení vzrostlý dřevina ( javor klen , javor mléč , lípa srdčitý ) , postupný náhrada invazní druh v soulad s ochranný pásmo přírodní památka Kavka ) . cesta nebo pěšina o šířka maximum . 0.8 v délka ca . 500 metr , z ten maximum . 250 – 300 metr být zejména v svah nutný upravit , případně ošetřit mělký štěrkový lože . k úprava svahový část pěšina ( zpevnění okraj ) být vhodný použít přirozený kmen bez ošetření například . z akátový dřevo ( lze použít místní zdroj ) . přechod koryto z dřevěný poval , část cesta v svah zpevněný povalový chodník . výsadba ovocný strom – pouze vysokokmen , starý odrůda jabloň , hrušeň , slivoň a třešně . vzhledem k invazní charakter na okolní plocha být nutný za vhodný alejový dřevina v tento lokalita považovat ořešák vlašský . převod kanalizace na otevřený koryto – otevření kanalizační a vyvedení vod Růženin lom do umělý kamenitý koryto s tůně se stagnující voda a kaskádka . průtok voda ca . 1 až 5 litr . sekunda  1 , tj ca . 80  400 metr 3 voda za den . převýšení ca . 15  20 metr , délka koryto 50  100 metr , přirozený zasakování pod svah v vytvořený malý rákosina . v okolí výsadba dřevina – olše lepkavý . vytvoření malý záchytný jímka 1  2 metr 3 nebo přestavba některý z šachta kanalizace pro kumulace voda na zalévání vysazený strom . projekt být navrhovat na parcela 2373 / 1 a 2232 / 95 .","Hády být jeden z suchý a teplý místo v Brno . pěšina křižující plocha pod Háda vést vyprahlý krajina bez stín a voda . přitom voda Růženin lom mizet v podzemní kanalizace , který ústit na zcela udržovaný pozemek město . navrhovat proto , aby voda z Růženin lom vytvořit zurčící potok s kámen a tůně , podél jenž být vzniknout zpevněný štěrkový pěšina , místy s dřevěný poval . pěšina být se postupně svažovat do údolíčko . okolní porost být být upravit a dosadit strom . pod svah , kde být se potok ztrácet v rákosí , být moci být vysadit malý olšina . cesta být dále sledovat podzemní tok potok , který se i dnes vyznačovat bujný vegetace . díky tento podzemní voda zde podél cesta moci být vysadit alej vzrostlý ovocný strom . třeba i starý odrůda , který na Hády dříve růst . co být tedy cíl ? usnadnit obyvatel vycházka na Hády , dostat zpět voda ukradený krajina a obohatit krajina o nový vzrostlý strom .",1
pejsek a sport na záhřebský,"sídliště záhřebský být ohraničit ulice záhřebský  Králopolská  poznaňský a jen v tento lokalita být registrovat 102 pes z celkový počet 1400 v celý obvod Brno  Žabovřesky . daleko více pes však využívat tento oblast k venčení jelikož mezi hradecký a záhřebský být krásný zatravněný úsek , který svádět k procházka . pomoci v tento oblast vybudovat psí vybavení a zároveň chránit okolí . .","agilita prvek sloužit k aktivní spojení majitel a jeho pes při hraní a upevňovat nejen zdraví pes , ale samozřejmě i majitel . rozmístění 3 sada skokový psí překážka umožnit volný cvičení pejsek a jeho majitel . skokový překážka tvořit :  3 x nízký skokový překážka  2 x vysoký dvojitý překážka prvek jako psí pisoár , sloužit nejen jako místo k vykonání potřeba pes , ale působit i preventivně proti ničení majetek my všechen ( například . : lavička , sloup veřejný osvětlení , jehličńany , keř a celkový nový výsadba ) . vytvoření tento místo přispět k zlepšení chování majitel pes , aby po svůj miláček uklízet a dávat on i možnost , jak se aktivně zapojit do hra s svůj pes a přispívat tak k zdraví . navíc veřejný prostranství se ozdravit a moci sloužit všechen jako odpočinkový zóna pro aktivní život na sídliště . psí pisoár Natura  komplet se skládat :  betonový psí pisoár  schránka na sáček pro sběr exkrement  koš na dopadka psí pisoár hranol být dřevěný psí pisoár .",1
výuka sportovní karate a sebeobrana,cíl projekt být naučit všechen zájemce účinně bránit . v krátkodobý kurz 3 měsíční a pod vedení zkušený trenér . cvičit moci všechen věkový kategorie . nutný cvičit v tělocvična .,"společenský situace , jistý latentní ohroženost , hlavně starý obyvatel , který být často bezbranný a rozhodný , moci cvičení hodně napomoci .",1
seznat se v Brno,"cíl být vrátit běžný komunikace více mezi lidé a usnadnit seznamování lidé , za pomocí několik souběžně běžící projekt dosáhnout ten , že se lidé , který se často jen míjet , seznámit , být  li mít zájem a dojít tak k propojení lidé do ten doba úplně neznámí . samota být bohužel pořád nedílný součást velký město , ten být potřeba změnit , první projekt být pomocí vebový stránka i informační kanál město propagovat akce , kde být za symbolický cena dostat jedinečný placka s registrační číslo a obrázkový symbol s kdo se chtít seznámit , či o co být se rád povídat , ten být ostatní lidé dát na jevo že být určitý lidé otevřít . . další soubežně běžící projekt být se konat v pravidelný interval a pracovat být na on zkušený organizátorský tým , jako například . instruktor Brno  pořádat například . tma a podobně . tam být za pomoc vtipný hra a různý náročný činnost seznámit a propojit cílový a předem věkově vymezený skupina lidé . podrobný info , zde být prostor rozepsat .","taky se vy zdát že být v Brno nuda ? ! že spousta lidé zbývat čas , nebo peníze , nebo odvaha na aktivita , kde být se moci seznámit ? mimo komerční několik málo seznamovací agentura , jejiž služba být levný ani pro většina lidé zajímavý , tu žádný podobný projekt nikdy běžet ! cíl projekt být přiblížit lidé v Brno lidé , využít k ten všechen možný příležitost , například . aby vánoční trh být jen o komerce , ale i o programový akce zaměřený pro dospělý , který být v skutečnost velice málo . téma samota být zvláště v Brno velký problém , stačit se jen podívat kolik lidé se pořídit pes , kočka a jiný domácí zvíře , zřídka se tak stát proto , že se cítit být sám a mít sám možnost ten změnit . ne pro každý být klub či tematicky zameřený sportovní akce . město být proto mít vycházet vstříc svůj obyvatel a čekat že ten za on někdo udělat z komerční oblast .",1
rychlý pruh pro chodec v podchod pod hlavní nádraží,"navrhovat vyznačení rychlý pruh uprostřed podchod v oba směr v který být se dát jít rychle a muset kličkovat mezi pomalý chodec , který kolikrát jít vedle se i po tři a když člověk pospíchat na autobus či vlak , tak ztrácet drahocenný minuta . někdy tvořit hradba , který se dát obejít bez nutnost vejít do protisměr . proto se myslit , že vyznačení rychlý pruh v oba směr uprostřed pomoci mnohý z my při svůj cesta město .",projekt usnadnit a urychlit každodenní cesta za práce či škola mnohý z my . a mnohý z my také ušetřit nerv . . .,1
