,Unnamed: 0,project_name,project_description,public_interest,status
0,0,malý rozhledna na kraví hora ,"předmět projekt být vybudování hřiště pro teenager a starší - hřiště pro trénování parkour a street workout na místo využívaný asfaltový plácek . v Komín chybět hřiště pro sportovní vyžití teenager , hřiště typ pro nácvik v současnost oblíbený parkour a další posilování streeta workout , hřiště by být zbudovat na stávající asfaltový plocha , kde již chybět původní sportovní prvek ( u ulice Řezáčův a Ulrychův ) nebo být funkční a hřiště být zřídka využívat . povrch hřiště by mít být litý , gumový pro zajištění dobrý dopadový podmínka . hřiště by mít obsahovat parkourový prvek ( výběr provést na základ konzultace s trenér parkour ) a workoutův sestava , lavička , odpadkový koš . v případ dostatek finance , navrhovat postavit ještě lezecký stěna - venkovní boulder . ","rozhled do široký okolí , užívat by se on mnohý návštěvník kraví hora . ",0
1,1,psí hřbitov v Brno ,"senior a člověk s postižení se bez přestup a zdarma dostat minibus několikrát za den z moravský my . , přes Hl . nádraží a Mendlův my . až k krematorium na ústřední hřbitov , daleko pak v státní svátek okolo celý hřbitov až k obřadní síň a zpět . všechen jednou být starý a málo pohyblivý . ten , který on být již dnes zajisté ocenit projekt , kdy se bez složitý přestupování dostat z střed město až k svůj drahý zesnulý . navrhovat nový linka minibus , který být jezdit z zastávka na moravský my . ( bývalý bellevue ) , daleko na zastávka Hl . nádraží ( u bývalý Čedok ) , poté na Mendlův my . ( některý z zastávka MHD ) a vjet na ústřední hřbitov z jihlavský ul . k krematorium , daleko pak o státní svátek po hlavní cesta okolo hřbitov , kdy minibus na požádání zastavit podle přání pasažér až na konečná k obřadní síň u hlavní vchod . stejný cesta se být moct každý opět vrátit až na moravský my . k jednotlivý zastávka minibus po město se dostat senior a málo pohyblivý obyvatel městský hromadný doprava z celý Brno . minibus být jezdit během celý rok od 9.00 do #num# : #num# vždy #num# x za #num# hodina , o Dušičky , Vánoce a Velikonoce vždy po půlhodina či dokonce po čtvrthodina . o sobota a neděle během rok být interval přiměřeně dlouhý . málo pohyblivý člověk se moct také zavčas a bez komplikace nechat dopravit na kremace či pohřebit svůj příbuzný či známý . kromě pomoc senior a člověk s postižení tento nový linka odlehčit , zvlášť o výše zmíněný svátek , již nyní člověk přeplněný vozidlo městský hromadný doprava město Brno . projekt být inspirovat úspěšný projekt město , kdy o letošní Velikonoce jezdit minibus pro senior a člověk s omezený pohyblivost pouze v areál ústřední hřbitov . ","v Brno být evidovaný přibližně #num# tisíc pes . psí hřbitov tak pomoct všechen majitel čtyřnohý mazlíček , který řešit , co s pejsek udělat po jeho smrt . pokud být mít oficiální vyhrazený prostor , kde za určitý poplatek být moct pejsek pohřbít , ubýt tak na černo kopaný hrob , například v les , který splňovat hygienický norma a být dělat často amatérský způsob . ",1
2,2,trolejbusový zastávka na my . Konečný ,"navrhovat revitalizace využitý travnatý proluka mezi rodinný a bytový dům / LV parcela #num# / #num# / na sportovní a oddychový část . předkládat návrh na #num# zóna - pohyb-děti-relax . chtít rekultivace a využití plocha pro všechen věkový kategorie . travnatý proluka o šířka cca #num# m a délka #num# m být využitý a dostupný cca #num# tisíc člověk , který bydlit v okolí . taky návštěvník sportovní hala a mnohý zaměstnanec okolní firma . projekt mít #num# realizační části- zóna , v první (\) "" pohyb (\) "" chtít směr od ulice Tuřanka vybudovat prostor s venkovní cvičební stroj , který poskytnout možnost aktivní pohyb a dostupný cvičení . v tento část slatina vůbec nic být na podpor aktivní pohyb dospělí . být tady žádný oddechový zóna , park , dokonce žádný veřejný lavička , pouze starý a nový bytový zástavba . ten být hlavní důvod , proč projekt navrhovat . místo být lehko dostupný , dobře situovaný , vůbec využitý a poskytovat i určitý intimita například k cvičení . sevření objekt zástavba , který můj okno situovaný na jiný strana , vzniknout dlouhý proluka . zajímavý pro veřejný využití , protože svůj způsob být ten uzavřený travnatý blok s několik strom . prostor mít všechen předpoklad být hodně navštěvovaný a svůj dostupnost se moct využívat bez omezení . v druhý část , navrhovat projekt situovaný do střed pozemek . zóna (\) "" dítě (\) "" , plánovat dětský hřiště s různý objekt , který vést k aktivní pohyb a různý hra dítě . třetí část , zóna (\) "" Relax (\) "" , být situovaný na konec pozemek . inspirace a záměr vycházet z populární tzv . městský grillpoint v Brno a mít by být místem nejenom k grilování , k posezení , ale i k setkávání se v veřejný prostor . jedinečnost projekt vidět v návaznost využití #num# rozdílný zóna na jeden , z tři strana přístupný parcela . vybudovaný prostor poskytnout místo oddech a zábava všechen věkový kategorie , od generace malý dítě až po seniorský věk . navazovat i na propojenost skladba občan v starý a nový zástavba . umožnit všechen v blízkost bydlení najít místo v volný prostor vhodný k setkání , k oddech a k možnost aktivní pohyb , který se stávat problém všechen generace . ",cestující v město Brno ,0
3,3,spojení Vaňkův náměstí s Mendlův náměstí ,"okrasný , relaxační , zážitkový pěší stezka , který bezpečný forma zprostředkovávat zážitek bosý chůze doplněná herní prvek a lavička . stezka pro bosý noha . jít o opravdu velmi příjemný zážitek . skládat se z několik pole a mít hladký obrubník z oloupaný kmen . návštěvník se procházet po oblázek , odštěpek dřevo , písek , zapuštěný špalík , smrkový šiška ( šiška , písek , oblázek , kůra , jehličí , kamínek , větvička apod . ) a překonávat různý nerovnost a výškový rozdíl . významný být také estetický hledisko . při vhodně zvolený obrubník a povrch být chodník příjemný nejen chodidlo , ale stávat se zajímavý , oko lahodící architektonický prvek . okrasný , relaxační , zážitkový pěší stezka v on člověk najít herní prvek a lavička . #num# . vybraný lokalita : zhruba dvacetimetrový stezka být v tvar ( podkova , rovný verze , ovál-průměrný šíř 1,25 cm ) být umístit v klidný část na zelený plocha mezi potok Vrbovec a účelový komunikace za první most v směr ul . pod Horká ( údolí oddech ) . #num# . vybraný lokalita : #num# m bosý stezka - veřejný zeleň za obchodní dům ul . Ečerov a v prostor mezi bytový dům ul . Fleischnerův a Ečerův . veřejný přínos projekt : projekt být pro široký veřejnost a předpokládaný uživatel být všechen obyvatel Brno , který chtít v rámec zdravý životní stylus bosý noha tak dopřát rozličný škála hmatový vjem . bosý chůze mít stimulační efekt , který působit na akupresurní bod a mimo jiné podporovat vývoj nožní klenba . člověk se moct vyzkoušet chůze po bosý chodník . procházet se moct po oblázek , odštěpek dřevo , písek a také po šiška ... ","díky nový spojení mezi Vaňkův a Mendlův náměstí se zkrátit doba pro pěší mezi tento lokalita uprostřed město . zároveň se otevřít nový zajímavý spojnice s výhled na Špilberk a jih město Brno – zkrátit se tak vlastně cesta z rušný Starého Brno do klidný žlutý kopec . součást se stát i partie pod Helgoland , odkud se kupř . krásně pozorovat ohňostroj z Špilberk . mnoho se zpopularizovat a „ přiblížit “ pro člověk z Oltecu park na Vaňkův náměstí , kde být i malý dětský hřiště a významný krajinný prvek Helgoland . spojení moct využít i člověk na procházka nebo návštěvník Masarykův onkologický ústav , který se k on dostat krátký cesta a hezký příroda a zelenět . ",1
4,4,lávka pro cyklista na cyklotrasa podél Svitava ,"záměr návrh být umístění dva kamera v problematický oblast okolo ulice Slívův . kamera by mít primárně dohlížet na dětský hřiště a travnatý prostor mezi bytový dům . Červené kruh na fotografia naznačovat orientační navrhovaný umístění . oblast kolem židenický kasárny být známá svůj problematika bezpečnost . značně dotčený být oblast okolo ulice Slívův . kamera by být napojit na onlinout tzv . městský kamerový dohledový systém ( MKDS ) . navrhovaný umístění dva kus kamera být orientační a být definitivní . v případ úspěch projekt by preferovat konzultace s odborník , kde v oblast být vhodný kamera umístit . nedávno instalovaný #num# kus kamera v Židenice za #num# #num# #num# #num# #num# Kč ( zdroj : www . zidenice . eu ) již Městký policie Brno pomoct efektivně dopadnout pachatel přepadení . věřit , že díky přítomnost kamera v tento oblast by se zvednout bezpečnost nejen pro místní obyvatel . ",zlepšení podmínka pro cyklista v Brno . Bezkolizní cyklostezka . zvýšení bezpečnost . ,1
5,5,živý voda pro hádes ,"nedostatek hřiště pro veliký dítě a mládež být obecný problém .. hřiště pro dnes tolik populární pumptrack a parkour být řešení jak trávit volný čas aktivně sport na čerstvý vzduch bez placení horentní částka za vstup , trenér a vybavení . Pumptrackový dráha být okruh tvořený mulda a klopený zatáčka , na který kolo pohánět setrvačnost a cyklista on v ten pomáhat pohyb tělo nahoru a dolů . dráha moct mít různý podoba od zvlnění stávající terén po modulární dráha sestavený z jednotlivý dílec s umělý povrch . Parkour být pohybový disciplína , který spočívat v překonávání překážka různý obtížnost . Parkourový hřiště moct mít různý podoba . důležitý být vhodný dopadový plocha , protože pád k překonávání překážka patřit . dva hřiště by být umístit jako součást veřejně přístupný sportovní areál FC Medlánka místo stávající hřiště na volejbal při ulice jabloňový . případný náklad s údržba hřiště a úprava jejich okolí nejen po doba udržitelnost projekt přislíbit financovat z svůj rozpočet MČ Brno-Medlánka . ","hádes být jeden z suchý a teplý místo v Brno . pěšina křižující plocha pod hádes vést vyprahlý krajina bez stín a voda . přitom voda Růženin lom mizet v podzemní kanalizace , který ústit na zcela udržovaný pozemek město . navrhovat proto , aby voda z Růženin lom vytvořit zurčící potok s kámen a tůně , podél jenž by vzniknout zpevněný štěrkový pěšina , místo s dřevěný poval . pěšina by se postupně svažovat do údolíčko . okolní porost by být upravit a dosadit strom . pod svah , kde by se potok ztrácet v rákosí , by moct být vysadit malý olšina . cesta by daleko sledovat podzemní tok potok , který se i dnes vyznačovat bujný vegetace . díky tento podzemní voda zde podél cesta moct být vysadit alej vzrostlý ovocný strom . třeba i starý odrůda , který na hádes dříve růst . co být tedy cíl ? usnadnit obyvatel vycházka na hádes , dostat zpět voda ukradený krajina a obohatit krajina o nový vzrostlý strom . ",1
6,6,pejsek a sport na záhřebský ,"vzpomínat jaký ten být , když být se v dětství houpat na houpačka a mít pocit , že vyletět až do oblaka ? rád by tento báječný pocit dopřát i dítě , který se na klasický houpačka houpat moct a pořídit on houpačka a kolotoč pro vozíčkář . v Brno na hřiště chybět herní prvek pro dítě pohybující se na invalidní vozík . být smutný , pokud se dítě moct na hřiště zapojit a ostatní dítě nebo svůj sourozenec jen zdálky pozorovat . uvítat by obohacení o různý bezbariérový herní prvek zejména v park Lužánka , Tyršův sad nebo na kraví hora . kromě houpačka pro vozíčkář existovat i speciální kolotoč nebo celý soustava s nájezd na dřevěný hrad , kde se dát různě prolézat . Sam pracovat s dítě s postižení a přesně tento na hřiště s dítě velmi postrádat . být zřejmý , jak velký dětský úsměv by takovýto atrakce na hřiště dokázat vykouzlit . a samozřejmě být úžasný , když se takto být moct spolu hrát dítě zdravá i ty s hendikep . bezbariérový houpačka případně i další herní prvek by umístit zpočátku v centrum kvůli jednoduchý dostupnost z všechen část Brno . doufat , že do budoucno by dojít k postupný umístění bezbariérový herní prvek do další lokalita . ","Agilit prvek sloužit k aktivní spojení majitel a jeho pes při hraní a upevňovat nejen zdraví pes , ale samozřejmě i majitel . rozmístění #num# sad skokový psí překážka umožnit volný cvičení pejsek a jejich majitel . skokový překážka tvořit : - #num# x nízký skokový překážka - #num# x vysoký dvojitý překážka prvek jako psí pisoár , sloužit nejen jako místo k vykonání potřeba pes , ale působit i preventivně proti ničení majetek my všechen ( např . : lavička , sloup veřejný osvětlení , jehličńany , keř a celkový nový výsadba ) . vytvoření tento místo přispět k zlepšení chování majitel pes , aby po svůj miláček uklízet a dávat on i možnost , jak se aktivně zapojit do hra s svůj pes a přispívat tak k zdraví . navíc veřejný prostranství se ozdravět a moct sloužit všechen jako odpočinkový zóna pro aktivní život na sídliště . psí pisoár NATUR - komplet se skládat : - betonový psí pisoár - schránka na sáček pro sběr exkrement - koš na dopadka psí pisoár hranol být dřevěný psí pisoár . ",1
7,7,výuka sportovní karate a sebeobrana ,"monitorovací síť stav ovzduší a polétavý prach v Brno přinášet jeho obyvatel veřejně dostupný informace o aktuální stav naměřený hodnota v konkrétní lokalita . cenově dostupný meteostanice být schopen sledovat hodnota polétavý prach , aktuální teplota , vlhkost vzduch , co #num# , či hladina hluk . systém umožnit vyhodnotit kde on situace zlý a tento problém pak moct být aktuálně řešit např . kropení , úprava doprava atd . na základ celoroční údaj moct vedení město přijmout i další opatření k snížení zatížení v hodně exponovaný lokalita , například výsadba zeleň , nebo jiný vhodný omezení příčina znečištění . Meteostanice on možný instalovat na křižovatka , zastávka MHD , či např . sloup veřejný osvětlení . dva takový meteostanice být již instalovat v chytrý zastávka MHD na moravský náměstí . na webový stránka město Brno by být umístit mapa s grafický vyznačení nainstalovaný stanice , který by zobrazovat hodnota v reálný čas , ale také by být možný sledovat historie naměřený hodnota a zjistit tak , v který místo či oblast být situace zlý , nebo naopak dobrý . také by být vyvinout mobilní aplikace , který by být na přenosný zařízení , například v mobilní telefon , snadno dostupný široký veřejnost . lokální měření by doplňovat hodnota naměřený z profesionální stanice ČHMÚ , který však být tak rozšířený a být on mnoho . ","společenský situace , jistý latentní ohroženost , hlavně starý obyvatel , který být často bezbranný a rozhodný , moct cvičení hodně napomoct . ",1
8,8,seznámit se v Brno ,"projekt zahrnovat úprava několik úsek cykloznačení z mariánský údolí do centrum město tak , aby být zajistit plynulý a bezpečný trasa pro cyklista . jednat se o bezproblémový vyřešení celý trasa , ale pouze o několik jejich místo prověřený každodenní jízda . především jít o zprůjezdnění jednosměrka cyklista , vodorovný označení piktogramový koridor ( bezpečný průjezd kolem stojící kolona auto ) a vymezení prostor pro cyklista u semafor . úprava spočívat v instalace dodatkový značka a piktogram na zem v ulice : #num# . Ondráčkův #num# - #num# , obousměrka pro cyklista . cyklista ( často rodina s dítě ) muset jet po frekventovaný silnice , kde v určitý místo moct dojít k natlačení cyklista k svodidlo . již k ten dojít při míjení dva protijedoucí vozidlo v zatáčka . #num# . Heydukův - zvážit jízda dva směr #num# . Trnkův - piktogramový koridor od bří Sapák po křižovatka s obchodní dům ( směr Novolíšeňský ) #num# . Novolíšeňský - piktogra . koridor + prostora pro cyklista od křižovatka Trnkův k semafor s Jedovnický #num# . líšeňský #num# - #num# , piktogramový koridor + prostora pro cyklista od smyčka tramvaj po křižovatka Jamborův #num# . Táborská #num# - #num# , piktogramový koridor + prostora pro cyklista #num# . most přes Svitava při ulice Pastrnkův - piktogram kolo . chodec vnímat svislý značka pro cyklista před most , vodorovný piktogram kola by se všimnout spíš . ","taky se vy zdát že být v Brno nuda ?! že spousta člověk zbývat čas , nebo peníz , nebo odvaha na aktivita , kde by se moct seznámit ? mimo komerční několik málo seznamovací agentura , jejiž služba být levný ani pro většina člověk zajímavý , ten žádný podobný projekt nikdy běžet ! cíl projekt on přiblížit člověk v Brno člověk , využít k ten všechen možný příležitost , např . aby vánoční trh být jen o komerce , ale i o programový akce zaměřený pro dospělí , který být v skutečnost velice málo . téma samota být zvláště v Brno velký problém , stačit se jen podívat kolik člověk se pořídit pes , kočka a jiný domácí zvíře , nezřídka se tak stát proto , že se cítit být sám a mít sám možnost ten změnit . ne pro každý být klub či tematicky zameřený sportovní akce . město by proto mít vycházet vstříc svůj obyvatel a čekat že ten za on někdo udělat z komerční oblast . ",1
9,9,Rychlé pruh pro chodec v podchod pod hlavní nádraží ,"pomoct my vytvořit zázemí dětský spolek v Tuřan ! mít možnost na pozemek město postavit dům s tři klubovna . rád by tento vytvořit v Tuřan kvalitní a odpovídající zázemí dětský spolek pro jejich každodenní činnost . v současný doba se na území městský část nacházet žádný klubovna určený pro volnočasový aktivita dítě a mládež . v Tuřany aktuálně působit několik spolek věnující se dítě ( skaut , pionýr , folklorní skupina F. Volek , farní mládež , skupina pro maminka s dítě ) a také narážet na dostatečný zázemí pro svůj činnost . nyní mít jedinečný možnost na pozemek v vlastnictví město Brno postavit domek kontejnerový typ s tři klubovna , který by tuřanský spolek moct sdílet . pozemek se nacházet mezi sokolovna a nově vznikající sportovní areál . chtít pro dítě vytvořit hezký místo , k který by moct mít vztah a chtít zde trávit svůj volný čas . navrhovat objekt sestavený z #num# lodní #num# ’ kontejner umístěný na betonový patka s maximální využití vnitřní plocha . objekt tak doplnit uliční řada stávající rodinný dům na ulice hanácký . dle platný územní plán být tento pozemek pro tento typ budova přípustný . objekt být napojit na stávající elektrický vedení , vodovod a kanalizace . do budoucno on možný stavba variabilně upravit či rozšířit dle potřeba další nově vzniklý spolek . kontejnerový stavba být dodávat včetně kompletní projektový dokumentace . v objekt být umístit tři klubovna , z jenž dva být variabilní a jít on propojit do jeden veliký sál . součást být i společný kuchyňka a sociální zařízení a zázemí pro ukládání materiál , potřebný pro činnost . místnost být variabilní pro potřeba různý věkový skupina a zájmový spolek . být od se oddělit tak , aby moct činnost spolek probíhat zároveň . kontejnerový stavba být na mnoho místo využít jako školka , tudíž být již ověřit jejich praktičnost a funkčnost . na provozní výdaj projekt se být finančně podílet městský část Brno-Tuřan . spolek být hradit energie a služba . ",projekt usnadnit a urychlit každodenní cesta za práce či škola mnohé z my . a mnohé z my také ušetřit nerv ... ,1
