project_name,project_description,public_interest,status
malý rozhledna kraví hora,"přestože vrchol kraví hora docela vysoko Brno , žádný místo kraví hora moc dobrý výhled dálka . hlavně ne , strom listí . škoda . přitom stačit malý rozhledna někde blízkost planetárium , se otevřít výhled vzdálenost několik desítka kilometr . výška stačit kousek nad střecha planetárium kousek nad koruna strom ( můj odhad asi 10 15 metr země ) . myslit , hodně navštěvovaný , protože kraví hora chodit hodně lidé , se lidé výhled užívat .","rozhled široký okolí , užívat se mnohý návštěvník kraví hora .",0
psí hřbitov Brno,"se důstojně rozloučit čtyřnohý miláček ! psí kamarád dělat každodenní radost , projevovat opravdový láska , stát se člen rodina . poslání život věčný , poměrně krátký opustit . pak udělat tělo ? zavézt kafilérka nechat průmyslově zpracovat masokostní moučka ? možnost nechat pejsek zpopelnit krematorium poměrně vysoký částka , ideální případ vykopat hrobeček vlastní pozemek . ne Brňan možnost . vybudovat proto území Brno , ideálně některý využitý pole , park les psí hřbitov ! Brno evidovaný cirka 30 tisíc pes , vyhradit žádný oficiální pozemek , kde se pejsek důstojně rozloučit dále navštěvovat . následovat město Třebíč , Písek , Pardubice , kde zvířecí hřbitov fungovat několik léta obyvatel vřele přijmout . najít mazlíček ideální místo poslední odpočinek .","Brno evidovaný přibližně 30 tisíc pes . psí hřbitov pomoci majitel čtyřnohý mazlíček , řešit , pejsek udělat smrt . pokud oficiální vyhrazený prostor , kde určitý poplatek pejsek pohřbít , ubýt černo kopaný hrob , například les , splňovat hygienický norma dělat často amatérský způsob .",1
trolejbusový zastávka náměstí . konečný,"současný stav trolejbusový zastávka směr Mendlův . ulice kotlářský , naproti botanický zahrada únosný . zastávka situovat úzký chodník , vzhledem několik škola okolí důsledek zvýšený počet cestující některý hodina docházet zastávka strkanice protože podél procházet jízdní pruh přímo ohrozit bezpečnost cestující , procházet . navrhovat zastávka zrušit , \ "" vykrojit \ "" park náměstí . konečný odbočka jízdní pruh zastavení trolejbus vybudovat krásný zastávka prostorově vyhovující počet cestující . následně pak rovněž zrušit zastávka začátek úvoz , dostupný vzdálenost zastávka . takovýto řešení zlepšit nejen situace cestující přispět plynulost doprava .",cestující město Brno,0
spojení Vaňkův náměstí Mendlův náměstí,"vytvoření průchod zatím uzavřený veřejnost přístupný areál zahrádka žlutý kopec se vytvořit spojnice frekventovaný Mendlův náměstí Vaňkův náměstí Masarykův onkologický ústav . současný vstup zahrádkářský areál otevřít ( tzn . odstranění branka ) průstupový cesta kolem zahrádka , dnes existovat vlastnit město Brno , zájem bezpečnost uživatel zahrádka nově oplotit upravit ( terenní vysprávka ) .","díky spojení Vaňkův Mendlův náměstí se zkrátit pěší lokalita uprostřed město . zároveň se otevřít zajímavý spojnice výhled Špilberk jih město Brno – zkrátit se vlastně cesta rušný starý Brno klidný žlutý kopec . součást se stát partie pod Helgoland , odkud se kupříkladu . krásně pozorovat ohňostroj Špilberk . více se zpopularizovat „ přiblížit “ lidé Oltec park Vaňkův náměstí , kde malý dětský hřiště významný krajinný prvek Helgoland . spojení využít lidé procházka návštěvník Masarykův onkologický ústav , se dostat krátký cesta hezký příroda zeleň .",1
lávka cyklista cyklotrasa podél Svitava,"cyklostezka vedoucí přes Brno sever jih podél Svitava ulice Cejl , Křenová Hladíkův přerušit , tady lávka , dokonce přechod . cyklista složitě překonávat frekventovaný komunikace . navrhovat vybudovat minimálně přechod chodec , lepší případ lávka .",zlepšení podmínka cyklista Brno . bezkolizní cyklostezka . zvýšení bezpečnost .,1
živý voda Háda,"ponechat Hády příroda , zpřístupnit obyvatel město vrátit dřívější život . vybudovat vycházkový pěšina sídliště Vinohrady , Maloměřice jižní svah Háda . malebný cesta povést ovocný alej les podél potok Růženin lom . zurčící voda strom zrcadlící se tůně vytvořit stín jinak rozpálený jižní svah . tam , kde se voda ztratit pod země , zásobit kořen ovocný strom alej , poskytnout stín . technický parametr : Odkřovení , zpřístupnění oba pozemek – jižní část – odstranění invazní druh trnitý křovina 80 % , zachování především zvláště chráněný ohrožený druh dřevina ( postup dle zákon 114 / 92 sbírka . ) – dub pýřitý , růže bedrníkolistý , růže malokvětý , dřín jarní atd . ponechání extenzivní ošetřování ( sečení ) travnatý porost . severní část – odstranění ošetření invazní dřevina rozsah zachování základní kostra porost , dosazení vzrostlý dřevina ( javor klen , javor mléč , lípa srdčitý ) , postupný náhrada invazní druh soulad ochranný pásmo přírodní památka Kavka ) . cesta pěšina šířka maximum . 0.8 délka ca . 500 metr , maximum . 250 – 300 metr zejména svah nutný upravit , případně ošetřit mělký štěrkový lože . úprava svahový část pěšina ( zpevnění okraj ) vhodný použít přirozený kmen bez ošetření například . akátový dřevo ( lze použít místní zdroj ) . přechod koryto dřevěný poval , část cesta svah zpevněný povalový chodník . výsadba ovocný strom – vysokokmen , starý odrůda jabloň , hrušeň , slivoň třešně . vzhledem invazní charakter okolní plocha nutný vhodný alejový dřevina lokalita považovat ořešák vlašský . převod kanalizace otevřený koryto – otevření kanalizační vyvedení vod Růženin lom umělý kamenitý koryto tůně se stagnující voda kaskádka . průtok voda ca . 1 5 litr . sekunda 1 , tj ca . 80 400 metr 3 voda den . převýšení ca . 15 20 metr , délka koryto 50 100 metr , přirozený zasakování pod svah vytvořený malý rákosina . okolí výsadba dřevina – olše lepkavý . vytvoření malý záchytný jímka 1 2 metr 3 přestavba některý šachta kanalizace kumulace voda zalévání vysazený strom . projekt navrhovat parcela 2373 / 1 2232 / 95 .","Hády suchý teplý místo Brno . pěšina křižující plocha pod Háda vést vyprahlý krajina bez stín voda . přitom voda Růženin lom mizet podzemní kanalizace , ústit zcela udržovaný pozemek město . navrhovat proto , voda Růženin lom vytvořit zurčící potok kámen tůně , podél vzniknout zpevněný štěrkový pěšina , místy dřevěný poval . pěšina se postupně svažovat údolíčko . okolní porost upravit dosadit strom . pod svah , kde se potok ztrácet rákosí , vysadit malý olšina . cesta dále sledovat podzemní tok potok , se dnes vyznačovat bujný vegetace . díky podzemní voda zde podél cesta vysadit alej vzrostlý ovocný strom . třeba starý odrůda , Hády dříve růst . tedy cíl ? usnadnit obyvatel vycházka Hády , dostat zpět voda ukradený krajina obohatit krajina vzrostlý strom .",1
pejsek sport záhřebský,"sídliště záhřebský ohraničit ulice záhřebský Králopolská poznaňský lokalita registrovat 102 pes celkový počet 1400 celý obvod Brno Žabovřesky . daleko více pes využívat oblast venčení jelikož hradecký záhřebský krásný zatravněný úsek , svádět procházka . pomoci oblast vybudovat psí vybavení zároveň chránit okolí . .","agilita prvek sloužit aktivní spojení majitel pes hraní upevňovat nejen zdraví pes , samozřejmě majitel . rozmístění 3 sada skokový psí překážka umožnit volný cvičení pejsek majitel . skokový překážka tvořit : 3 x nízký skokový překážka 2 x vysoký dvojitý překážka prvek psí pisoár , sloužit nejen místo vykonání potřeba pes , působit preventivně proti ničení majetek ( například . : lavička , sloup veřejný osvětlení , jehličńany , keř celkový výsadba ) . vytvoření místo přispět zlepšení chování majitel pes , miláček uklízet dávat možnost , se aktivně zapojit hra pes přispívat zdraví . navíc veřejný prostranství se ozdravit sloužit odpočinkový zóna aktivní život sídliště . psí pisoár Natura komplet se skládat : betonový psí pisoár schránka sáček sběr exkrement koš dopadka psí pisoár hranol dřevěný psí pisoár .",1
výuka sportovní karate sebeobrana,cíl projekt naučit zájemce účinně bránit . krátkodobý kurz 3 měsíční pod vedení zkušený trenér . cvičit věkový kategorie . nutný cvičit tělocvična .,"společenský situace , jistý latentní ohroženost , hlavně starý obyvatel , často bezbranný rozhodný , cvičení hodně napomoci .",1
seznat se Brno,"cíl vrátit běžný komunikace více lidé usnadnit seznamování lidé , pomocí několik souběžně běžící projekt dosáhnout , se lidé , se často míjet , seznámit , li zájem dojít propojení lidé úplně neznámí . samota bohužel pořád nedílný součást velký město , potřeba změnit , projekt pomocí vebový stránka informační kanál město propagovat akce , kde symbolický dostat jedinečný placka registrační číslo obrázkový symbol kdo se seznámit , se rád povídat , ostatní lidé dát jevo určitý lidé otevřít . . soubežně běžící projekt se konat pravidelný interval pracovat zkušený organizátorský tým , například . instruktor Brno pořádat například . tma podobně . tam pomoc vtipný hra různý náročný činnost seznámit propojit cílový předem věkově vymezený skupina lidé . podrobný info , zde prostor rozepsat .","taky se vy zdát Brno nuda ? ! spousta lidé zbývat čas , peníze , odvaha aktivita , kde se seznámit ? mimo komerční několik málo seznamovací agentura , jejiž služba levný většina lidé zajímavý , tu žádný podobný projekt nikdy běžet ! cíl projekt přiblížit lidé Brno lidé , využít možný příležitost , například . vánoční trh komerce , programový akce zaměřený dospělý , skutečnost velice málo . téma samota zvláště Brno velký problém , stačit se podívat kolik lidé se pořídit pes , kočka domácí zvíře , zřídka se stát proto , se cítit sám sám možnost změnit . ne každý klub tematicky zameřený sportovní akce . město proto vycházet vstříc obyvatel čekat někdo udělat komerční oblast .",1
rychlý pruh chodec podchod pod hlavní nádraží,"navrhovat vyznačení rychlý pruh uprostřed podchod oba směr se dát rychle kličkovat pomalý chodec , kolikrát vedle se tři pospíchat autobus vlak , ztrácet drahocenný minuta . někdy tvořit hradba , se dát obejít bez nutnost vejít protisměr . proto se myslit , vyznačení rychlý pruh oba směr uprostřed pomoci mnohý cesta město .",projekt usnadnit urychlit každodenní cesta práce škola mnohý . mnohý ušetřit nerv . . .,1
