,project_id,project_description,public_interest
0,11,"Přestože vrchol Kraví hory je docela vysoko na Brnem, z žádného místa Kraví hory není moc dobrý výhled do dálky. Hlavně v létě ne, když stromy mají listí. Je to škoda. Přitom by stačila malá rozhledna někde v blízkosti planetária, aby se otevřel výhled na všechny strany do vzdálenosti několika desítek kilometrů. 
Její výška by stačila kousek nad střechu planetária a kousek nad koruny stromů (podle mého odhadu asi 10-15 metrů od země). Myslím, že by byla hodně navštěvovaná, protože na Kraví horu chodí hodně lidí, a že by si lidé výhled užívali.","Rozhled do širokého okolí, užívala by si ho mnozí návštěvníci Kraví hory."
1,12,"Pojďme se důstojně rozloučit s našimi čtyřnohými miláčky!
Psí kamarádi nám dělají každodenní radost, projevují opravdovou lásku, stali se členy rodiny. Jejich poslání v našich životech ale není věčné, za poměrně krátkou dobu nás musejí opustit. 
Co pak uděláme s jejich těly? Zavezeme do kafilérky a necháme je průmyslově zpracovat na masokostní moučku? Další možností je nechat pejska zpopelnit v krematoriu za poměrně vysokou částku, nebo mu v ideálním případě vykopat hrobeček na vlastním pozemku. Ne všichni Brňané ale mají tuto možnost.
Vybudujme proto na území Brna, ideálně na některém z nevyužitých polí, parků nebo v lese PSÍ HŘBITOV! V Brně je evidovaných cca 30 tisíc psů, ale není vyhrazen žádný oficiální pozemek, kde bychom se s pejskem mohli důstojně rozloučit a dále ho navštěvovat. 
Následujme města jako Třebíč, Písek, Pardubice nebo Praha, kde již zvířecí hřbitovy fungují několik let a obyvatelé je vřele přijali.
Najděme pro naše mazlíčky ideální místo posledního odpočinku.","V Brně je evidovaných přibližně 30 tisíc psů. Psí hřbitov tak pomůže všem majitelům čtyřnohých mazlíčků, kteří řeší, co s pejskem udělají po jeho smrti. Pokud budou mít oficiální vyhrazený prostor, kde za určitý poplatek budou moci pejska pohřbít, ubude tak na černo kopaných hrobů, například v lesích, které nesplňují hygienické normy a jsou dělány často amatérským způsobem."
2,23,"Současný stav trolejbusové zastávky směr Mendlovo nám. na ul Kotlářská, naproti Botanické zahrady je neúnosný. Zastávka je situována u úzkého chodníku, vzhledem k několika školám v okolí a v důsledku toho zvýšeného počtu cestujících v některých hodinách  dochází  na zastávce ke strkanicím a protože podél prochází dva jízdní pruhy je přímo ohrožena bezpečnost cestujících a těch, kteří jen prochází.
Navrhuji zastávku zrušit , \""vykrojit\"" v  parku na nám. Konečného odbočku z jízdního pruhu pro zastavení trolejbusu a vybudovat krásnou zastávku prostorově vyhovující počtu cestujících. Následně pak rovněž zrušit zastávku na začátku Úvozu, která je v dostupné vzdálenosti od zastávky nové. Takovéto řešení by zlepšilo nejen situaci cestujících ale přispělo by i k plynulosti dopravy.",Cestujícím ve městě Brně
3,31,"Vytvořením průchodu zatím uzavřeného a veřejnosti nepřístupného areálu zahrádek na Žlutém kopci se vytvoří nová spojnice mezi frekventovaným Mendlovým náměstím a Vaňkovým náměstím u Masarykova onkologického ústavu.

Současné vstupy do zahrádkářského areálu by byly otevřeny (tzn. odstranění branek) a průstupová cesta kolem zahrádek, která již dnes existuje a vlastní ji město Brno, by byla v zájmu bezpečnosti uživatelů zahrádek nově oplocena a upravena (terenní vysprávky).","Díky novému spojení mezi Vaňkovým a Mendlovým náměstím se zkrátí doba pro pěší mezi těmito lokalitami uprostřed města. Zároveň se otevře nová zajímavá spojnice s výhledy na Špilberk a jih města Brna – zkrátí se tak vlastně cesta z rušného Starého Brna do klidnějšího Žlutého kopce. Součástí se stane i partie pod Helgolandem, odkud se kupř. krásně pozorují ohňostroje ze Špilberku. Více se zpopularizuje a „přiblíží“ pro lidi z Oltecu park na Vaňkově náměstí, kde je i malé dětské hřiště a významný krajinný prvek Helgoland. Spojení mohou využít i lidé na procházkách nebo návštěvníci Masarykova onkologického ústavu, kteří se k němu dostanou kratší cestou a hezkou přírodou a zelení."
4,34,"Děkuji za Vaše hlasy, ale aniž bych to věděla, identický projekt byl schválen vedením města Brna a probíhá už jeho realizace.

http://www.css.brno.cz/index.php?nav01=7925&nav02=10001258","SOS GPS náramek pro osamělé seniory, osoby s omezenou pohyblivostí nebo dlouhodobě nemocné - umožňuje  přivolat si v tísni jednoduchým způsobem pomoc kdykoliv a kdekoliv."
5,35,"Cyklostezka vedoucí přes Brno ze severu na jih podél Svitavy je na ulicích Cejl, Křenová a Hladíkova přerušena, Není tady lávka, dokonce ani přechod. Cyklisté musejí složitě překonávat frekventované komunikace. Navrhoval bych vybudovat minimálně přechody pro chodce, v lepším případě lávky.",Zlepšení podmínek pro cyklisty v Brně. Bezkolizní cyklostezka. Zvýšení bezpečnosti.
6,38,"Ponechejme Hády přírodě, ale zpřístupněme je obyvatelům města a vraťme jim dřívější život. Vybudujme vycházkovou  pěšinu mezi sídlištěm Vinohrady, Maloměřicemi a jižním svahem Hádů. Malebná cesta povede ovocnou alejí a lesem podél potoka až k Růženinu lomu. Zurčící voda a stromy zrcadlící se v tůních vytvoří stín na jinak rozpáleném jižním svahu. Tam, kde se voda ztratí pod zem, zásobí kořeny ovocných stromů aleje, která poskytne stín.

Technické parametry:
Odkřovení, zpřístupnění obou pozemků – jižní část – odstranění invazních druhů a trnitých křovin do 80%, zachování především zvláště chráněných a ohrožených druhů dřevin (postup dle zákona 114/92 Sb.) – dub pýřitý, růže bedrníkolistá, růže malokvětá, dřín jarní atd. Ponechání a extenzivní ošetřování (sečení) travnatých porostů. Severní část – odstranění a ošetření invazních dřevin do rozsahu zachování základní kostry porostu, dosazení vzrostlých dřevin (javor klen, javor mléč, lípa srdčitá), postupná náhrada invazních druhů v souladu s ochranným pásmem přírodní památky Kavky).

Cesta nebo pěšina o šířce max. 0.8 v délce ca. 500 m, z toho max. 250–300 m je zejména ve svahu nutno upravit, případně ošetřit mělkým štěrkovým ložem. K úpravě svahové části pěšiny (zpevnění okrajů) je vhodné použít přirozené kmeny bez ošetření např. z akátového dřeva (lze použít místní zdroj). Přechody koryta z dřevěných povalů, části cesty ve svahu zpevněné povalovým chodníkem.

Výsadba ovocných stromů – pouze vysokokmeny, staré odrůdy jabloní, hrušní, slivoní a třešní. Vzhledem k invaznímu charakteru na okolních plochách je nutno za nevhodnou alejovou dřevinu v této lokalitě považovat ořešák vlašský.

Převod kanalizace na otevřené koryto – otevření kanalizační a vyvedení vod Růženina lomu do umělého kamenitého koryta s tůněmi se stagnující vodou a kaskádkami. Průtok vody ca. 1 až 5 l.s-1, tj ca. 80-400 m3 vody za den. Převýšení ca. 15-20 m, délka koryta 50-100 m, přirozené zasakování pod svahem ve vytvořené malé rákosině. V okolí výsadba dřevin – olše lepkavá. Vytvoření malé záchytné jímky 1-2 m3 nebo přestavba některé ze šachet kanalizace pro kumulaci vody na zalévání vysazených stromů. 

Projekt je navrhován na parcelách 2373/1 a 2232/95.","Hády jsou jedním z nejsušších a nejteplejších míst v Brně. Pěšiny křižující plochy pod Hády vedou vyprahlou krajinou bez stínu a vody. Přitom vody Růženina lomu mizí v podzemní kanalizaci, která ústí na zcela neudržované pozemky města. Navrhujeme proto, aby vody z Růženina lomu vytvořily zurčící potok s kameny a tůněmi, podél něhož by vznikla zpevněná štěrková pěšina, místy s dřevěnými povaly. Pěšina by se postupně svažovala do údolíčka. Okolní porost by byl upraven a dosazen stromy. Pod svahem, kde by se potok ztrácel v  rákosí, by mohla být vysazena malá olšina. Cesta by dále sledovala podzemní tok potoka, který se i dnes vyznačuje bujnější vegetací. Díky této podzemní vodě zde podél cesty může být vysazena alej vzrostlých ovocných stromů. Třeba i starých odrůd, které na Hádech dříve rostly. 

Co je tedy cílem?
Usnadníme obyvatelům vycházky na Hády, dostaneme zpět vodu ukradenou krajině a obohatíme krajinu o nové vzrostlé stromy."
7,41,"Sídliště Záhřebská je ohraničena ulicemi Záhřebská - Králopolská - Poznaňská a jen v této lokalitě je registrováno 102 psů z celkového počtu 1400 v celém obvodě Brno - Žabovřesky. Daleko více psů však využívá této oblasti k venčení jelikož mezi Hradeckou a Záhřebskou je krásný zatravněný úsek, který svádí k procházkám. Pomožte v této oblasti vybudovat psí vybavení a zároveň chránit okolí..","Agility prvky slouží k aktivnímu spojení majitele a jeho psa při hraní a upevňuje nejen zdraví psa, ale samozřejmě i majitele. Rozmístění 3 sad skokových psích překážek umožní volné cvičení pejsků a jejich majitelů.
Skokové překážky tvoří:
- 3x nízká skoková překážka
- 2x vysoká dvojitá překážka

Prvky jako psí pisoáry, slouží nejen jako místa k vykonání potřeb psa, ale působí i preventivně proti ničení majetku nás všech (např.: lavičky, sloupy veřejného osvětlení, jehličńany, keře a celkovou novou výsadbu). 
Vytvořením těchto míst přispějeme ke zlepšení chování majitelů psů, aby po svých miláčcích uklízeli a dává jim i možnost, jak se aktivně zapojit do hry se svým psem a přispívá tak ke zdraví. Navíc veřejné prostranství se ozdraví a může sloužit všem jako odpočinková zóna pro aktivní život na sídlišti.

Psí pisoár NATUR - komplet se skládá:
- betonový psí pisoár
- schránka na sáčky pro sběr exkrementů
- koš na dopadky

Psí pisoár HRANOL je dřevěný psí pisoár."
8,42,Cílem projektu je naučit všechny zájemce účinně bránit. Ve krátkodobých kurzech 3 měsíční a pod vedením zkušených trenérů. Cvičit mohou všechny věkové kategorie. Nutno cvičit v tělocvičnách.,"Společenská situace, jistá latentní ohroženost, hlavně starších obyvatel, kteří jsou často bezbranní a nerozhodní, může cvičení hodně napomoci."
9,48,"Cílem je vrátit běžnou komunikaci více mezi lidi a usnadnit seznamování lidí, za pomocí několika souběžně běžících projektů dosáhnout toho, že se lidi, kteří se často jen míjí, seznámí, budou-li mít zájem a dojde tak k propojení lidí do té doby úplně neznámích.
Samota je bohužel pořád nedílnou součástí velkých měst, to je potřeba změnit,
První projekt by pomocí vebových stránek i informačních kanálech města propagoval akci, kde by za symbolickou cenu dostali jedinečnou placku s registračním číslem a obrázkovým symbolem s kým se chtějí seznámit, či o čem by si rádi povídali, tím by ostatním lidem dali na jevo že jsou určitým lidem otevřeni..
Další soubežně běžící projekt by se konal v pravidelných intervalech a pracovali by na něm zkušené organizátorské týmy, jako např.Instruktoři Brno-pořádali např. Tmou a podobně.Tam by za pomoci vtipných her a různých nenáročných činností seznámili a propojili cílovou a předem věkově vymezenou skupinu lidí.Podrobnější info, zde není prostor rozepsat.","Taky se vám zdálo že je v Brně nuda?!Že spoustě lidí nezbývá čas, nebo peníze, nebo odvaha na aktivity, kde by se mohli seznámit?
Mimo komerčních několika málo seznamovacích agentur, jejiž služby nejsou levné ani pro většinu lidí zajímavé, tu žádné podobné projekty nikdy neběžely!
Cílem projektu je přiblížit lidi v Brně lidem, využít k tomu všechny možné příležitosti, např. aby vánoční trhy nebyli jen o komerci, ale i o  programové akci zaměřené pro dospělé, kterých je ve skutečnosti velice málo.
Téma samoty je zvláště v Brně velký problém, stačí se jen podívat kolik lidí si pořídilo psi, kočky a jiná domácí zvířata, nezřídka se tak stalo proto, že se cítí být sami a nemají sami možnost to změnit.
Ne pro každého jsou kluby či tematicky zameřené sportovní akce.
Město by proto mělo vycházet vstříc svým obyvatelům a nečekat že to za něj někdo udělá z komerční oblasti."
